bedrooms,average_price
3,466276.5909
2,401387.7471
4,635564.6771
5,786874.1262
1,318239.4592
6,825853.5037
7,951447.8158
8,1105076.9231
9,893999.8333
11,520000.0000
10,820000.0000
33,640000.0000
